sid,grp,tid,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2,lrn,int,comp,time,prog,rule,lrn2
302,1,2,1.1785714285714288,0.17857142857142883,-4.821428571428571,-2.821428571428571,4.178571428571429,4.178571428571429,-4.821428571428571,7,6,1,3,10,10,1
302,1,3,0.17857142857142883,0.17857142857142883,-1.8214285714285712,-0.8214285714285712,2.178571428571429,3.178571428571429,-2.821428571428571,6,6,4,5,8,9,3
302,1,4,2.178571428571429,2.178571428571429,2.178571428571429,2.178571428571429,-0.8214285714285712,-0.8214285714285712,2.178571428571429,8,8,8,8,5,5,8
303,1,1,3.4642857142857144,-3.5357142857142856,-4.535714285714286,-5.535714285714286,3.4642857142857144,3.4642857142857144,-5.535714285714286,10,3,2,1,10,10,1
303,1,2,2.4642857142857144,-2.5357142857142856,-4.535714285714286,-3.5357142857142856,3.4642857142857144,3.4642857142857144,-5.535714285714286,9,4,2,3,10,10,1
303,1,3,-1.5357142857142856,2.4642857142857144,2.4642857142857144,2.4642857142857144,-2.5357142857142856,1.4642857142857144,3.4642857142857144,5,9,9,9,4,8,10
303,1,4,0.4642857142857144,3.4642857142857144,3.4642857142857144,0.4642857142857144,-4.535714285714286,0.4642857142857144,3.4642857142857144,7,10,10,7,2,7,10
304,1,1,1.5357142857142856,-4.464285714285714,-4.464285714285714,-4.464285714285714,4.535714285714286,4.535714285714286,-4.464285714285714,7,1,1,1,10,10,1
304,1,2,1.5357142857142856,-3.4642857142857144,-4.464285714285714,-4.464285714285714,4.535714285714286,4.535714285714286,-4.464285714285714,7,2,1,1,10,10,1
304,1,3,4.535714285714286,-0.4642857142857144,1.5357142857142856,0.5357142857142856,-2.4642857142857144,-1.4642857142857144,2.5357142857142856,10,5,7,6,3,4,8
304,1,4,-1.4642857142857144,4.535714285714286,4.535714285714286,4.535714285714286,-3.4642857142857144,-4.464285714285714,4.535714285714286,4,10,10,10,2,1,10
305,1,1,-3.8571428571428568,0.14285714285714324,-3.8571428571428568,-3.8571428571428568,4.142857142857143,4.142857142857143,-3.8571428571428568,2,6,2,2,10,10,2
